Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class
Tony Bradley,269,LAL,1,28,2017,North Carolina,2016-17,North Carolina,38,0,14.6,2.7,4.7,2.7,4.7,0.0,0.0,1.7,2.8,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,0.573,0.573,,0.619,0.59,0.573,F,FR
OG Anunoby,177,TOR,1,23,2017,Indiana,2016-17,Indiana,16,10,25.1,4.3,7.6,3.4,4.8,0.9,2.8,1.7,3.0,1.8,3.7,5.4,1.4,1.3,1.3,1.6,2.1,11.1,0.557,0.701,0.311,0.563,0.611,0.615,F,SO
Ike Anigbogu,137,IND,2,47,2017,UCLA,2016-17,UCLA,29,0,13.0,2.0,3.5,2.0,3.5,0.0,0.0,0.8,1.5,1.4,2.6,4.0,0.2,0.2,1.2,0.8,2.5,4.7,0.564,0.564,,0.535,0.564,0.564,F,FR
Harry Giles,102,POR,1,20,2017,Duke,2016-17,Duke,26,6,11.5,1.7,3.0,1.7,3.0,0.0,0.0,0.5,0.9,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,0.577,0.577,,0.5,0.57,0.577,F,FR
Trae Young,876,DAL,1,5,2018,Oklahoma,2017-18,Oklahoma,32,32,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,0.422,0.493,0.36,0.861,0.585,0.518,G,FR
Jalen Brunson,756,DAL,2,33,2018,Villanova,2017-18,Villanova,40,40,31.8,6.8,13.0,4.6,7.7,2.2,5.3,3.3,4.1,0.3,2.8,3.1,4.6,0.9,0.0,1.8,2.0,18.9,0.521,0.599,0.408,0.802,0.635,0.604,G,JR
Jerome Robinson,725,LAC,1,13,2018,Boston College,2017-18,Boston College,35,35,36.0,7.1,14.7,4.8,9.0,2.3,5.7,4.2,5.0,0.5,3.1,3.6,3.3,0.9,0.1,2.7,2.5,20.7,0.485,0.533,0.409,0.83,0.608,0.564,F,JR
Tony Carr,725,NOH,2,51,2018,Penn State,2017-18,Penn State,37,37,35.4,6.6,16.2,4.2,10.7,2.4,5.5,4.0,5.0,0.9,4.1,4.9,5.0,0.8,0.3,2.3,1.8,19.6,0.408,0.395,0.433,0.799,0.527,0.482,G,SO
Mikal Bridges,706,PHI,1,10,2018,Villanova,2017-18,Villanova,40,40,32.1,6.1,11.9,3.5,5.9,2.6,6.0,2.9,3.4,1.4,4.0,5.3,1.9,1.5,1.1,1.4,2.2,17.7,0.514,0.593,0.435,0.851,0.655,0.623,F,JR
Deandre Ayton,704,PHO,1,1,2018,Arizona,2017-18,Arizona,35,35,33.5,7.9,12.9,7.5,11.9,0.3,1.0,4.0,5.5,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,0.612,0.635,0.343,0.733,0.65,0.625,F,FR
Marvin Bagley III,694,SAC,1,2,2018,Duke,2017-18,Duke,33,32,33.9,8.2,13.3,7.5,11.6,0.7,1.8,4.0,6.3,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,0.614,0.647,0.397,0.627,0.643,0.64,F,FR
