Player,yr1.2P,yr1.2P%,yr1.2PA,yr1.3P,yr1.3P%,yr1.3PA,yr1.AST,yr1.BLK,yr1.DRB,yr1.FG,yr1.FG%,yr1.FGA,yr1.FT,yr1.FT%,yr1.FTA,yr1.G,yr1.GS,yr1.MP,yr1.ORB,yr1.PF,yr1.PTS,yr1.Pos,yr1.STL,yr1.TOV,yr1.TRB,yr1.Team,yr1.eFG%,yr2.2P,yr2.2P%,yr2.2PA,yr2.3P,yr2.3P%,yr2.3PA,yr2.AST,yr2.BLK,yr2.DRB,yr2.FG,yr2.FG%,yr2.FGA,yr2.FT,yr2.FT%,yr2.FTA,yr2.G,yr2.GS,yr2.MP,yr2.ORB,yr2.PF,yr2.PTS,yr2.Pos,yr2.STL,yr2.TOV,yr2.TRB,yr2.Team,yr2.eFG%,yr3.2P,yr3.2P%,yr3.2PA,yr3.3P,yr3.3P%,yr3.3PA,yr3.AST,yr3.BLK,yr3.DRB,yr3.FG,yr3.FG%,yr3.FGA,yr3.FT,yr3.FT%,yr3.FTA,yr3.G,yr3.GS,yr3.MP,yr3.ORB,yr3.PF,yr3.PTS,yr3.Pos,yr3.STL,yr3.TOV,yr3.TRB,yr3.Team,yr3.eFG%
Anthony Black,2.1,0.439,4.7,1.0,0.286,3.4,1.6,0.2,3.2,3.0,0.375,8.1,1.6,0.772,2.1,69.0,50.0,27.4,0.5,2.4,8.7,SF,1.4,1.1,3.7,DET,0.435,1.7,0.484,3.4,0.9,0.288,3.3,1.3,0.2,2.8,2.6,0.389,6.7,0.8,0.781,1.0,66.0,7.0,18.3,0.5,1.7,6.9,SF,0.9,1.2,3.3,2TM,0.459,0.6,0.429,1.4,0.3,0.292,1.0,0.8,0.2,1.2,0.9,0.373,2.4,0.4,0.563,0.6,25.0,0.0,6.0,0.3,0.6,2.4,PF,0.2,0.6,1.5,TOR,0.432
Anthony Davis,6.0,0.536,11.2,0.0,0.0,0.1,3.0,1.6,10.9,6.0,0.529,11.3,3.1,0.605,5.1,78.0,78.0,33.7,5.1,3.2,15.0,C,1.5,2.6,16.0,DET,0.529,7.0,0.548,12.8,0.1,0.132,0.5,1.4,1.7,10.2,7.1,0.533,13.3,3.1,0.59,5.2,79.0,79.0,33.5,5.4,3.4,17.3,C,1.7,2.2,15.6,DET,0.536,7.2,0.551,13.1,0.1,0.143,0.6,2.7,1.6,10.8,7.3,0.533,13.8,3.0,0.575,5.2,57.0,56.0,33.0,4.4,3.5,17.7,C,1.9,3.6,15.2,2TM,0.536
Anthony Edwards,1.0,0.507,2.0,0.4,0.302,1.2,2.0,0.3,1.4,1.4,0.431,3.1,0.6,0.7,0.8,37.0,7.0,15.2,0.4,1.4,3.6,PG,0.6,1.1,1.8,LAL,0.487,2.1,0.431,4.9,1.0,0.48,2.0,3.1,0.4,1.9,3.1,0.445,6.9,2.0,0.797,2.6,25.0,4.0,21.2,0.8,2.2,9.2,PG,1.0,1.7,2.7,LAL,0.514,1.3,0.468,2.7,0.6,0.333,1.9,1.9,0.3,1.7,1.9,0.412,4.5,1.1,0.734,1.5,64.0,2.0,18.4,0.3,1.5,5.5,PG,1.1,0.8,1.9,LAL,0.481
Anthony Gill,3.9,0.405,9.7,1.8,0.341,5.1,3.0,0.2,3.5,5.7,0.383,14.8,3.6,0.813,4.5,24.0,24.0,27.3,0.4,2.3,16.7,SG,1.0,1.8,3.9,CHI,0.442,6.5,0.504,12.9,1.9,0.374,5.1,4.5,0.4,4.0,8.4,0.467,18.0,5.0,0.832,6.0,63.0,62.0,34.5,0.6,2.2,23.7,SG,1.0,3.4,4.7,CHI,0.52,5.9,0.497,11.9,3.1,0.38,8.1,4.2,0.5,4.1,9.0,0.45,20.0,4.5,0.802,5.6,60.0,60.0,34.8,0.7,2.2,25.5,SF,1.5,3.4,4.8,CHI,0.526
Armoni Brooks,1.5,0.476,3.1,0.3,0.25,1.0,1.9,0.2,1.4,1.7,0.42,4.1,0.4,0.759,0.5,54.0,11.0,12.6,0.4,1.4,4.1,PG,0.6,0.7,1.8,LAL,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Hagans,4.8,0.482,10.1,2.2,0.399,5.5,5.2,0.3,4.3,7.0,0.452,15.6,3.2,0.785,4.0,52.0,32.0,30.9,0.8,1.8,19.4,PG,1.1,2.3,5.1,MEM,0.523,2.6,0.405,6.4,1.1,0.356,3.1,2.4,0.3,2.4,3.7,0.389,9.6,1.7,0.719,2.3,69.0,18.0,20.3,0.5,1.7,10.2,SG,0.8,1.7,2.9,IND,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausar Thompson,1.9,0.493,3.9,0.7,0.276,2.6,1.5,0.1,2.9,2.7,0.406,6.5,0.7,0.889,0.8,55.0,4.0,21.9,0.3,1.2,6.8,SF,0.3,0.9,3.1,2TM,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Reaves,0.5,0.5,1.0,0.3,0.4,0.8,1.3,0.0,0.8,0.8,0.455,1.8,0.0,,0.0,6.0,0.0,4.7,0.0,0.3,2.0,SG,0.2,0.3,0.8,OKC,0.545,0.8,0.405,1.9,0.4,0.348,1.2,1.2,0.1,1.9,1.2,0.383,3.2,0.2,0.5,0.3,19.0,3.0,10.7,0.5,1.0,3.0,SG,0.3,0.8,2.5,ATL,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayo Dosunmu,4.7,0.52,9.1,0.5,0.326,1.5,6.2,0.3,3.3,5.2,0.493,10.6,1.7,0.649,2.7,63.0,63.0,28.7,1.0,2.3,12.7,PG,1.3,2.7,4.3,2TM,0.516,3.5,0.476,7.3,0.8,0.314,2.5,7.6,0.4,4.1,4.3,0.434,9.8,1.3,0.743,1.8,42.0,42.0,29.8,1.2,1.9,10.6,PG,1.0,2.7,5.2,NOP,0.475,4.0,0.482,8.2,0.3,0.203,1.5,7.2,0.4,3.6,4.3,0.439,9.8,1.1,0.57,1.9,45.0,36.0,27.7,1.2,2.0,10.0,PG,1.6,2.1,4.7,NYK,0.455
Bam Adebayo,3.9,0.437,8.9,2.2,0.357,6.1,1.3,0.6,4.9,6.1,0.404,15.0,1.9,0.767,2.5,78.0,78.0,32.1,0.9,2.5,16.2,PF,0.6,1.3,5.8,OKC,0.476,2.8,0.491,5.7,2.1,0.328,6.4,0.5,0.7,4.5,4.9,0.405,12.1,1.5,0.682,2.2,10.0,2.0,29.4,0.9,3.2,13.4,PF,0.4,0.8,5.4,HOU,0.492,4.3,0.448,9.6,1.5,0.385,3.9,1.5,0.5,5.1,5.8,0.43,13.5,2.3,0.845,2.8,58.0,58.0,32.8,1.2,2.9,15.4,PF,0.8,1.7,6.3,POR,0.485
